location,block,pasture,livestock,patch,subpatch,date,plot,array,logger,TC,tempC,time,problematic
CGREC,BAR,NW,Cattle,NW,,5-15-2018,1,2,1,2,,,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,1,2,1,3,,,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,1,3,7,1,48.25,13:48:46.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,1,3,7,2,67.75,13:48:22.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,1,3,7,3,78.25,13:47:41.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,1,6,1,,,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,1,6,2,,,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,1,6,3,,,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,2,4,1,281,13:36:27.1,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,2,4,2,222.25,13:36:09.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,2,4,3,198.75,13:36:22.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,3,9,1,294.25,13:36:37.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,3,9,2,338,13:36:13.1,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,2,3,9,3,256.25,13:36:20.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,1,3,1,168.75,13:31:31.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,1,3,2,117.5,13:33:26.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,1,3,3,306,13:31:37.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,2,2,1,204.25,13:26:15.1,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,2,2,2,218.5,13:26:08.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,2,2,3,171.5,13:26:13.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,3,8,1,168.5,13:29:12.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,3,8,2,338.75,13:27:11.0,
CGREC,BAR,NW,Cattle,NW,,5-15-2018,3,3,8,3,115,13:27:11.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,1,1R,1,57,13:34:45.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,1,1R,2,23.25,13:34:54.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,1,1R,3,30.5,13:34:54.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,2,5R,1,29,12:39:15.1,1
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,2,5R,2,22.5,13:37:24.1,1
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,2,5R,3,170.25,13:47:03.0,1
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,3,6Y,1,,,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,3,6Y,2,,,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,1,3,6Y,3,,,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,1,8R,1,104.25,13:07:15.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,1,8R,2,168.75,13:05:55.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,1,8R,3,133.5,13:05:02.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,2,6R,1,41.25,12:56:54.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,2,6R,2,49.75,12:57:55.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,2,6R,3,46,12:53:42.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,3,4Y,1,138.25,12:54:51.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,3,4Y,2,290.25,12:51:30.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,2,3,4Y,3,66.25,12:54:53.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,1,2R,1,306.25,12:31:20.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,1,2R,2,82.25,12:31:47.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,1,2R,3,222,12:30:22.1,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,2,R4,1,187.25,12:25:21.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,2,R4,2,221.5,12:25:04.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,2,R4,3,253.5,12:23:58.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,3,2Y,1,126.75,12:22:28.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,3,2Y,2,174,12:22:07.0,
CGREC,BAR,NW,Cattle,NE,,5-7-2019,3,3,2Y,3,119.25,12:20:50.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,1,2,1,189,15:02:17.1,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,1,2,2,246,15:01:53.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,1,2,3,247.25,15:02:09.1,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,2,5,1,130.5,14:59:59.1,
